                Time  Interstls  Vacancies   Recmbtns   VcncySfc   IntlnSfc  defects
              0.0000        172        172          4          0          0        344
              1.0000        172        172          4          0          0        344
              2.0000        172        172          4          0          0        344
              3.0000        172        172          4          0          0        344
              4.0000        171        171          5          0          0        342
              5.0000        171        171          5          0          0        342
              6.0000        171        171          5          0          0        342
              7.0000        171        171          5          0          0        342
              8.0000        171        171          5          0          0        342
              9.0000        171        171          5          0          0        342
             10.0000        171        171          5          0          0        342
             11.0000        171        171          5          0          0        342
             12.0000        171        171          5          0          0        342
             13.0000        171        171          5          0          0        342
             14.0000        171        171          5          0          0        342
             15.0000        171        171          5          0          0        342
             16.0000        171        171          5          0          0        342
             17.0000        171        171          5          0          0        342
             18.0000        171        171          5          0          0        342
             19.0000        171        171          5          0          0        342
             20.0000        171        171          5          0          0        342
             21.0000        171        171          5          0          0        342
             22.0000        171        171          5          0          0        342
             23.0000        171        171          5          0          0        342
             24.0000        171        171          5          0          0        342
             25.0000        171        171          5          0          0        342
             26.0000        171        171          5          0          0        342
             27.0000        171        171          5          0          0        342
             28.0000        171        171          5          0          0        342
             29.0000        171        171          5          0          0        342
             30.0000        171        171          5          0          0        342
             31.0000        171        171          5          0          0        342
             32.0000        171        171          5          0          0        342
             33.0000        171        171          5          0          0        342
             34.0000        171        171          5          0          0        342
             35.0000        171        171          5          0          0        342
             36.0000        171        171          5          0          0        342
             37.0000        171        171          5          0          0        342
             38.0000        171        171          5          0          0        342
             39.0000        171        171          5          0          0        342
             40.0000        170        170          6          0          0        340
             41.0000        170        170          6          0          0        340
             42.0000        170        170          6          0          0        340
             43.0000        170        170          6          0          0        340
             44.0000        170        170          6          0          0        340
             45.0000        170        170          6          0          0        340
             46.0000        170        170          6          0          0        340
             47.0000        170        170          6          0          0        340
             48.0000        170        170          6          0          0        340
             49.0000        170        170          6          0          0        340
             50.0000        170        170          6          0          0        340
             51.0000        170        170          6          0          0        340
             52.0000        170        170          6          0          0        340
             53.0000        170        170          6          0          0        340
             54.0000        170        170          6          0          0        340
             55.0000        170        170          6          0          0        340
             56.0000        170        170          6          0          0        340
             57.0000        170        170          6          0          0        340
             58.0000        170        170          6          0          0        340
             59.0000        170        170          6          0          0        340
             60.0000        170        170          6          0          0        340
             61.0000        170        170          6          0          0        340
             62.0000        170        170          6          0          0        340
             63.0000        170        170          6          0          0        340
             64.0000        170        170          6          0          0        340
             65.0000        170        170          6          0          0        340
             66.0000        170        170          6          0          0        340
             67.0000        170        170          6          0          0        340
             68.0000        170        170          6          0          0        340
             69.0000        170        170          6          0          0        340
             70.0000        170        170          6          0          0        340
             71.0000        170        170          6          0          0        340
             72.0000        170        170          6          0          0        340
             73.0000        170        170          6          0          0        340
             74.0000        170        170          6          0          0        340
             75.0000        170        170          6          0          0        340
             76.0000        170        170          6          0          0        340
             77.0000        170        170          6          0          0        340
             78.0000        170        170          6          0          0        340
             79.0000        170        170          6          0          0        340
             80.0000        170        170          6          0          0        340
             81.0000        170        170          6          0          0        340
             82.0000        170        170          6          0          0        340
             83.0000        170        170          6          0          0        340
             84.0000        170        170          6          0          0        340
             85.0000        170        170          6          0          0        340
             86.0000        170        170          6          0          0        340
             87.0000        170        170          6          0          0        340
             88.0000        170        170          6          0          0        340
             89.0000        170        170          6          0          0        340
             90.0000        170        170          6          0          0        340
             91.0000        170        170          6          0          0        340
             92.0000        170        170          6          0          0        340
             93.0000        170        170          6          0          0        340
             94.0000        170        170          6          0          0        340
             95.0000        170        170          6          0          0        340
             96.0000        170        170          6          0          0        340
             97.0000        170        170          6          0          0        340
             98.0000        170        170          6          0          0        340
             99.0000        170        170          6          0          0        340
            100.0000        170        170          6          0          0        340
            110.0000        170        170          6          0          0        340
            120.0000        170        170          6          0          0        340
            130.0000        170        170          6          0          0        340
            140.0000        170        170          6          0          0        340
            150.0000        170        170          6          0          0        340
            160.0000        170        170          6          0          0        340
            170.0000        170        170          6          0          0        340
            180.0000        170        170          6          0          0        340
            190.0000        170        170          6          0          0        340
            200.0000        169        169          7          0          0        338
            210.0000        169        169          7          0          0        338
            220.0000        169        169          7          0          0        338
            230.0000        168        168          8          0          0        336
            240.0000        168        168          8          0          0        336
            250.0000        168        168          8          0          0        336
            260.0000        168        168          8          0          0        336
            270.0000        168        168          8          0          0        336
            280.0000        168        168          8          0          0        336
            290.0000        168        168          8          0          0        336
            300.0000        168        168          8          0          0        336
            310.0000        167        167          9          0          0        334
            320.0000        167        167          9          0          0        334
            330.0000        167        167          9          0          0        334
            340.0000        167        167          9          0          0        334
            350.0000        167        167          9          0          0        334
            360.0000        167        167          9          0          0        334
            370.0000        167        167          9          0          0        334
            380.0000        167        167          9          0          0        334
            390.0000        166        166         10          0          0        332
            400.0000        166        166         10          0          0        332
            410.0000        166        166         10          0          0        332
            420.0000        166        166         10          0          0        332
            430.0000        166        166         10          0          0        332
            440.0000        166        166         10          0          0        332
            450.0000        166        166         10          0          0        332
            460.0000        166        166         10          0          0        332
            470.0000        166        166         10          0          0        332
            480.0000        166        166         10          0          0        332
            490.0000        166        166         10          0          0        332
            500.0000        166        166         10          0          0        332
            510.0000        166        166         10          0          0        332
            520.0000        166        166         10          0          0        332
            530.0000        166        166         10          0          0        332
            540.0000        166        166         10          0          0        332
            550.0000        166        166         10          0          0        332
            560.0000        166        166         10          0          0        332
            570.0000        166        166         10          0          0        332
            580.0000        166        166         10          0          0        332
            590.0000        166        166         10          0          0        332
            600.0000        166        166         10          0          0        332
            610.0000        166        166         10          0          0        332
            620.0000        166        166         10          0          0        332
            630.0000        166        166         10          0          0        332
            640.0000        166        166         10          0          0        332
            650.0000        166        166         10          0          0        332
            660.0000        166        166         10          0          0        332
            670.0000        166        166         10          0          0        332
            680.0000        166        166         10          0          0        332
            690.0000        166        166         10          0          0        332
            700.0000        166        166         10          0          0        332
            710.0000        166        166         10          0          0        332
            720.0000        166        166         10          0          0        332
            730.0000        166        166         10          0          0        332
            740.0000        166        166         10          0          0        332
            750.0000        166        166         10          0          0        332
            760.0000        166        166         10          0          0        332
            770.0000        166        166         10          0          0        332
            780.0000        166        166         10          0          0        332
            790.0000        165        165         11          0          0        330
            800.0000        165        165         11          0          0        330
            810.0000        165        165         11          0          0        330
            820.0000        165        165         11          0          0        330
            830.0000        164        164         12          0          0        328
            840.0000        164        164         12          0          0        328
            850.0000        164        164         12          0          0        328
            860.0000        164        164         12          0          0        328
            870.0000        164        164         12          0          0        328
            880.0000        164        164         12          0          0        328
            890.0000        164        164         12          0          0        328
